Автор,Цитата,Link
 --> "Лев Толстой","Как только почувствуешь страсть, похоть, страх, злобу, вспомни, кто ты: вспомни, что ты не тело, а душа, и тотчас же затихнет то, что взволновало тебя.",http://forismatic.com/ru/d638f10e47/
 --> "Лев Толстой","Чем больше людей верят в одно и то же, тем осторожнее надо быть к такой вере и тем внимательнее обсудить ее.",http://forismatic.com/ru/ea72f446a8/
 --> "Лев Толстой","Исполняя свое внутреннее назначение, живя для души, человек невольно и самым действительным образом служит улучшению общественной жизни.",http://forismatic.com/ru/711d35698d/
 --> "Лев Толстой","Всякий раз, когда чего-нибудь очень хочется сделать, остановись и подумай: хорошо ли то, чего тебе так очень хочется.",http://forismatic.com/ru/e5e092dc4f/
 --> "Макс Фрай","В жизни каждого бывают моменты, когда следует броситься в пропасть, чтобы наконец убедиться в том, что всегда умел летать... ",http://forismatic.com/ru/e1e3b4ed55/
 --> "Мао Цзэдун","Если вы думаете, что сможете — вы сможете, если думаете, что нет — вы правы. ",http://forismatic.com/ru/434a8de6a6/
 --> "Марк Аврелий ","Если что-либо тебе не по силам, то не решай еще, что оно вообще невозможно для человека. Но если что-нибудь возможно для человека и свойственно ему, то считай, что оно доступно и тебе.",http://forismatic.com/ru/631c0a782c/
 --> "Махатма Ганди","Прощать более мужественно, чем наказывать. Слабый не может прощать. Прощение есть свойство сильного. ",http://forismatic.com/ru/250c44c29e/
 --> "Мильфорд Прентис","Господствующее настроение духа, угнетенное или честолюбивое, создает наши условия жизни, наш успех или неудачу. Поэтому никогда нельзя ставить пределов будущим возможностям. ",http://forismatic.com/ru/08d949fd3c/
 --> Мольер,"Любовь ревнивца более походит на ненависть. ",http://forismatic.com/ru/92c0f5f0cb/
 --> "Морфеус, к/ф «Матрица»","Ты можешь быстрее — предела нет. Знай, ты можешь — будь уверен. Хватит попыток — просто бей! ",http://forismatic.com/ru/8e11d94b72/
 --> "Наполеон Бонапарт","Гениальные люди — это метеоры, призванные сгореть, чтобы озарить свой век. ",http://forismatic.com/ru/54d1432d0d/
 --> "Николай Амосов","Внешняя свобода не всегда дает свободу внутреннюю. Только внутренне свободный человек способен воспринимать новое.",http://forismatic.com/ru/f2073ff686/
 --> "Никос Казантцакис","До тех пор, пока ты не порвешь со старым, ты не сможешь жить по-настоящему.",http://forismatic.com/ru/7d2b1e4b81/
 --> "Норман Пил ","Во что ты веришь, того и достигнешь.",http://forismatic.com/ru/f0ca614808/
 --> "Олдос Леонард Хаксли","Существует только один уголок вселенной, который вы можете улучшать с уверенностью, это вы сами.",http://forismatic.com/ru/e266c57477/
 --> "Олдос Хаксли","Опыт — это не то, что происходит с человеком, а то, что делает человек с тем, что с ним происходит. ",http://forismatic.com/ru/ed5b7b8a53/
 --> "Оскар Уайльд","Мужчина может быть счастлив с любой женщиной, кроме той, в которую он влюблен. ",http://forismatic.com/ru/3dd4799e0d/
